title	content
대학가 방값 이대로 괜찮은가 ..	안녕하세요 MBC PD수첩 팀입니다 저희는 대학생들의 주거실태를 다루는 방송을 제작 준비 중에 있으며 대학생들이 기본권(주거/안전/식사 등)이 보장되지 않은 상태에서 학업을 병행하기 어려운 현실을 취재하고 이에 대한 근본적인 대책을 모색해보는 방송을 준비하고 있습니다. 이와
와	개강이라니 개같네
인문캠 지도~~~	쨘~~
wow...수강신청	my mental을 아작내고있어.....☆ 전공.....없다....듣고싶은....no dab
고려대학교 생태연구회 열두루달에서 신입 부원을 모집합니다!	고려대학교 생태연구회 열두루달에서 신입 부원을 모집합니다! 열두루달은 일 년 열두 달 전국 곳곳에서 살아가는 생명들을 두루 관찰하고 공부하고자 하는 이들이 모인 생태연구회입니다. 우리와 다르게 살아가는 존재들을 이해하기 위해 열두루달은 오늘도 자연의 땅을 밟습니다. #우리는_
뒤풀이 시간좀 빨리해주세여	통학러는 웁니다 ㅠ ㅠ
아싸가 되고 싶지만 되기 싫다	일상에서 70%는 아싸로 지내는 게 편한데 30%를 위해 인싸인 척 하고 있다 지겨운 인간관계
공부하는 게 더 마음편하신분?	규칙적인 생활하며 공부만 하다가 대학와서 술먹고 놀고 늦게 자고 늦게 일어날 때마다 뭔가 불안하고 초조한 분 없나요? 뭔가 규칙적이고 바른 생활을 해야만 할거같고 공부와 취업같이 미래대비를 해야할 거 같은 강박관념 느끼는건 저뿐인가요?
밥약 후	감사인사하는 후배랑 안하는 후배랑 내가 그 사람에 대해 갖는 생각이 완전히 달라졌다
근데 학벌주의고 뭐고를 떠나서	남들과 완전 다른 노력을 하고 같은 졸업장을 받으려 하면 그게 양심에 털난거 아닌가요? 까놓고 말해 학창시절 스카이가려고 노는시간, 자는시간 줄여가며 공부해서 스카이간 사람과, 놀 꺼 다 놀고 잘 꺼 다 자고 분캠가서 같은 졸업장 받으려고 하는거는 진짜 언어도단이죠. 그리고 학벌주의 학벌주의 그러시는데, 이 학벌주의는 이미 우리 사회에 형성되어 만연한 것이고, 우리는 그 사회 내에서 치열하게 노력하고 경쟁하여 (일종의 승리일 수도있는) 사회에 최고로 적응한 존재가 되어서 나름의 학벌을 얻었습니다. 학벌주의타파 운운하는거는 (솔직히 말해) 어느정도 이상의 학벌을 갖고 있는 사람들이 학벌주위 타파해야한다고 말하면 설득력을 갖지만, 학벌주의사회에서 경쟁에 실패한 사람들이 학벌주의 타파 운운하는 것은 설득력이 다소 떨어진다고 봅니다. 대체 본분교 통합을 주장하시는 분들은 그 명분이 학벌주의 해소 외에 다른 어떤 이유가 있나요? 본분교 통합한다고 해서 대한민국 학벌주의가 해소될 것 같나요? 저는 이것은 우리나라가 대학을 안나와도 충분히 먹고 살 수 있는 나라가 되지않는 이상 절대 불가능하다고 생각합니다
새내기인데 저 공부를 너무 안해요	안하는걸 알면서도 안해요 학점 개망인가요
제발 강의시간에 떠들지좀마세요..	중학생도 아니고 자기들 떠드는게 안들리는줄 아는건지 뒤에서 계속 궁시렁궁시렁궁시렁
아아... 그는 어디로갔나..	야자 끝나기 1초전까지 집중하던 그... 쉬는시간에 수학문제를 풀던 그
고대구나	놀때는 다 망생인줄 알았는데 시험결과 보니 나만 망했네.  재수로 정시 합격하긴 했어도 내신 상위권이었고 어디가든 항상 내가 대표 모범생이었는데.  대충 공부해도 시험 끝나고 아 망했어 ㅠ 라고 말하긴 해도 항상 상위권이어서 그게 당연했는데.  여기 애들은 나 이상인 애들이라는걸 같이 놀다가 잊었나보다
.	저는 세종캠 학생이에요! 여기 어떻게 글 쓰냐면 사용하는 포털이 같기 때문에 인증을 거쳐서 연동이 된답니다! 세종 졸업요건을 다 마치고 이중전공으로 온 거라서 갖가지 정보를 얻으려면 안암 에타를 사용할 수밖에 없었어요 거슬렸다면 죄송합니다! 저만 그런지는 몰라도 안암 학우분들
한젊시	수강신청할 때 아무도 공부 안해서 좀만 공부하면 학점 잘나온다고 꿀강이라는 거보고 오오오 하고 신청햇는데  나때문에 꿀강인거구나 하고 느끼고 있습니다 ㅎ
고3때가 그리운건 저뿐?	뭔가 힘든 시기에 더 추억이 많은거 같아요ㅋㅋ
